TNFRSF11A	PLAUR
TDGF1	MAPT
PECAM1	MAPT
CRLF2	MAPT
SOD1	MAPT
MMP17	MAPT
KAT6A	MAPT
ESR1	MAPT
GAS1	MAPT
KREMEN2	MAPT
ANGPTL3	MAPT
BCL2	MAPT
CMA1	MAPT
EPO	MAPT
TGFB3	MAPT
CDH12	MAPT
MMP10	MAPT
CCL13	MAPT
IL28A	MAPT
GREM1	MAPT
HGF	TNFRSF1A
TNFRSF1B	TNFRSF1A
FSTL3	TNFRSF1A
FCN1	TNFRSF1A
GZMB	TNFRSF1A
LYZ	TNFRSF1A
EGFR	NTRK3
CNTFR	NTRK3
BCAM	NTRK3
EDA	NTRK3
CNTN1	NTRK3
IL1R1	NTRK3
IL19	NTRK3
WFIKKN2	NTRK3
CD109	NTRK3
CNTN4	NTRK3
LRIG3	NTRK3
INSR	NTRK3
IGF1R	NTRK3
MFGE8	NTRK3
NCAM1	NTRK3
BST1	NTRK3
SLITRK5	NTRK3
NTRK2	NTRK3
ENG	NTRK3
CDNF	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
CD86	NTRK3
IgG	TNFRSF17
IL5RA	TNFRSF17
DSG2	TNFRSF17
SLAMF7	TNFRSF17
BGN	DCN
CHST15	DCN
RPS27A-UbB	CAPN1
UBE2I	CAPN1
PTPN11	CAPN1
CASP3	CAPN1
ITGA2B	CAPN1
UFM1	CAPN1
PPIA	CAPN1
MDH1	CAPN1
TPT1	CAPN1
VTA1	CAPN1
FER	CAPN1
EIF4G2	CAPN1
NME2	CAPN1
GPI	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
GSTP1	CAPN1
MSN	CAPN1
CSNK2A1-2B	CAPN1
PPIF	CAPN1
PRKCB	CAPN1
MB	CKM
CKB-CKM	CKM
CA3	CKM
IMPDH2	CKM
PECAM1	TDGF1
NCR2	TDGF1
CRLF2	TDGF1
MMP17	TDGF1
KAT6A	TDGF1
ESR1	TDGF1
ICOS	TDGF1
GAS1	TDGF1
KREMEN2	TDGF1
ANGPTL3	TDGF1
MBD4	TDGF1
GZMB	TDGF1
ENTPD3	TDGF1
SHH	EGFR
APOB	EGFR
CDH5	EGFR
MET	EGFR
CNTN1	EGFR
IL19	EGFR
MRC2	EGFR
LGALS3	EGFR
ADAMTS13	EGFR
CNTN4	EGFR
DLL4	EGFR
HTRA2	EGFR
LRIG3	EGFR
MATN2	EGFR
CHL1	EGFR
DKK3	EGFR
RBP4	EGFR
KDR	EGFR
CFHR5	EGFR
IGF2R	EGFR
A2M	EGFR
PLG	EGFR
KLKB1	EGFR
Thrombin	EGFR
MMP2	EGFR
IGF1R	EGFR
SLPI	EGFR
SPARCL1	EGFR
C3B	EGFR
NCAM1	EGFR
SFN	EGFR
NTRK2	EGFR
CD55	EGFR
GPNMB	EGFR
NOTCH1	EGFR
ROBO2	EGFR
SEMA6A	EGFR
ALCAM	EGFR
LTF	HGF
KLK11	HGF
